"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"ERIE","Erie Indemnity Company","118.02","$6.17B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/erie"
"ERYP","Erytech Pharma S.A.","20.5","$367.72M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/eryp"
"ESCA","Escalade, Incorporated","13.25","$191.01M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/esca"
"ESPR","Esperion Therapeutics, Inc.","68.78","$1.84B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/espr"
"ESQ","Esquire Financial Holdings, Inc.","24.03","$178.92M","2017","Finance","Commercial Banks","https://www.nasdaq.com/symbol/esq"
"ESSA","ESSA Bancorp, Inc.","14.95","$174.27M","n/a","Finance","Banks","https://www.nasdaq.com/symbol/essa"
"EPIX","ESSA Pharma Inc.","3.7607","$21.72M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/epix"
"ESND","Essendant Inc.","7.32","$275.68M","n/a","Consumer Services","Paper","https://www.nasdaq.com/symbol/esnd"
"ESTR","Estre Ambiental, Inc.","11.5","$531.88M","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estr"
"ESTRW","Estre Ambiental, Inc.","0.6998","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estrw"
"VBND","ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund","47.52","$408.67M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vbnd"
"VUSE","ETF Series Solutions Trust Vident Core US Equity ETF","33.3","$506.16M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vuse"
"VIDI","ETF Series Solutions Trust Vident International Equity Fund","28.11","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vidi"
"ETSY","Etsy, Inc.","29.53","$3.54B","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/etsy"
"CLWT","Euro Tech Holdings Company Limited","2.3","$5.13M","1997","Consumer Durables","Diversified Electronic Products","https://www.nasdaq.com/symbol/clwt"
"EEFT","Euronet Worldwide, Inc.","79.41","$4.09B","1997","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/eeft"
"ESEA","Euroseas Ltd.","2.34","$26.15M","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/esea"
"EVEP","EV Energy Partners, L.P.","0.1389","$6.86M","2006","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/evep"
"EVBG","Everbridge, Inc.","37.52","$1.07B","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/evbg"
"EVK","Ever-Glory International Group, Inc.","3.75","$55.48M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/evk"
"MRAM","Everspin Technologies, Inc.","7.39","$123.03M","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/mram"
"EVLV","EVINE Live Inc.","1.17","$76.5M","n/a","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/evlv"
"EVFM","Evofem Biosciences, Inc.","7.45","$132.34M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evfm"
"EVGN","Evogene Ltd.","3.088","$79.53M","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/evgn"
"EVOK","Evoke Pharma, Inc.","2.36","$36.56M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evok"
"EOLS","Evolus, Inc.","7.21","$170.45M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eols"
"EVOL","Evolving Systems, Inc.","3.65","$45.73M","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/evol"
"EXAS","Exact Sciences Corporation","46.6","$5.64B","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/exas"
"FLAG","Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S","41.6999","$16.68M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/flag"
"XELA","Exela Technologies, Inc.","4.61","$703.33M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/xela"
"EXEL","Exelixis, Inc.","20.71","$6.14B","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/exel"
"EXFO","EXFO Inc","3.7","$86.82M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/exfo"
"EXLS","ExlService Holdings, Inc.","58.54","$2B","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/exls"
"EXPE","Expedia Group, Inc.","106.35","$16.15B","n/a","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/expe"
"EXPD","Expeditors International of Washington, Inc.","63.93","$11.2B","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/expd"
"EXPO","Exponent, Inc.","86.8","$2.26B","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/expo"
"ESRX","Express Scripts Holding Company","76.71","$43.08B","1992","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/esrx"
"XOG","Extraction Oil & Gas, Inc.","14.22","$2.5B","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/xog"
